"Site","Year","X","Y","DiameterX","DiameterY","Rosettes","Infl","Rust","BrType","InflBr","Comments","TagNew","location_comment","TagDist","RosNew","InflNew","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","TransectNew","InflYesNo"
"Garden Park West",2004,0.56,10.22,0,0,5,2,1,"None",0,"3 flowers browsed","W.1.34","",0,5,2,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.56,10.22,2,1,1,0,0,"None",0,"","W.1.34","",0,1,0,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",0
"Garden Park West",2006,0.56,10.22,10,7,4,0,0,"None",0,"","W.1.34","",0,4,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.56,10.22,24,20,21,8,0,"None",0,"Leaf","W.1.34","",0,21,8,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.56,10.22,0,0,NA,NA,0,"None",0,"tag missing","W.1.34","",0,NA,NA,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",NA
"Garden Park West",2004,0.59,0.47,19,14,18,18,1,"Inflorescence",0,"leaves, stems, NO # of browsed INF","W.1.2","tag 3 cm N",3,18,18,1,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,"W.1",1
"Garden Park West",2005,0.59,0.47,19,12,14,3,0,"Leaf",0,"leaf browse","W.1.2","tag 3 cm N",3,14,3,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,"W.1",1
"Garden Park West",2006,0.59,0.47,7,6,7,0,0,"Leaf",0,"mammal","W.1.2","tag 3 cm N",3,7,0,1,1,1,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068,"W.1",0
"Garden Park West",2007,0.59,0.47,13,11,13,6,0,"None",0,"","W.1.2","tag 3 cm N",3,13,6,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,"W.1",1
"Garden Park West",2008,0.59,0.47,9,5,10,0,0,"None",0,"","W.1.2","tag 3 cm N",3,10,0,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,"W.1",0
"Garden Park West",2009,0.59,0.47,14,10,12,5,0,"None",0,"","W.1.2","tag 3 cm N",3,12,5,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044,"W.1",1
"Garden Park West",2010,0.59,0.47,18,13,25,0,0,"None",0,"","W.1.2","tag 3 cm N",3,25,0,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,"W.1",0
"Garden Park West",2011,0.59,0.47,17,13,13,0,0,"Leaf",0,"insect","W.1.2","tag 3 cm N",3,13,0,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,"W.1",0
"Garden Park West",2012,0.59,0.47,10,8,16,0,0,"Leaf",0,"","W.1.2","tag 3 cm N",3,16,0,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,"W.1",0
"Garden Park West",2013,0.59,0.47,7,1,4,0,0,"None",0,"","W.1.2","tag 3 cm N",3,4,0,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,"W.1",0
